uid	iid	label
1	1	1
1	2	1
1	3	1
1	4	1
2	7	1
2	8	1
2	9	1
2	10	1
3	13	1
3	14	1
3	15	1
3	16	1
3	17	1
3	18	1
3	19	1
4	22	1
4	23	1
4	24	1
4	25	1
4	26	1
4	27	1
5	30	1
5	31	1
5	32	1
5	33	1
5	34	1
6	36	1
6	37	1
6	38	1
6	39	1
6	40	1
6	41	1
6	42	1
6	43	1
6	44	1
7	47	1
7	48	1
7	28	1
8	51	1
8	52	1
8	53	1
8	54	1
8	55	1
9	58	1
9	59	1
9	60	1
9	61	1
10	64	1
10	65	1
10	66	1
10	67	1
10	68	1
10	69	1
10	70	1
10	71	1
10	72	1
10	73	1
10	74	1
10	75	1
10	76	1
10	77	1
10	78	1
10	79	1
10	80	1
10	81	1
10	82	1
10	83	1
10	84	1
10	85	1
10	86	1
10	87	1
10	88	1
10	89	1
11	92	1
11	93	1
11	94	1
11	95	1
11	96	1
12	99	1
12	100	1
12	101	1
12	102	1
13	105	1
13	106	1
13	107	1
13	108	1
13	109	1
13	110	1
13	111	1
14	114	1
14	115	1
14	116	1
14	117	1
15	120	1
15	121	1
15	122	1
16	125	1
16	126	1
16	127	1
17	130	1
17	24	1
17	131	1
17	132	1
17	133	1
17	134	1
17	135	1
18	138	1
18	139	1
18	140	1
19	143	1
19	144	1
19	145	1
20	148	1
20	149	1
20	150	1
21	153	1
21	154	1
21	155	1
22	158	1
22	159	1
22	160	1
23	163	1
23	164	1
23	165	1
24	168	1
24	169	1
24	170	1
25	173	1
25	174	1
25	175	1
25	176	1
26	179	1
26	180	1
26	181	1
27	184	1
27	185	1
27	186	1
27	187	1
27	188	1
27	189	1
27	190	1
27	191	1
27	192	1
28	194	1
28	195	1
28	196	1
29	199	1
29	200	1
29	201	1
29	202	1
29	203	1
30	206	1
30	207	1
30	208	1
30	209	1
30	210	1
30	211	1
30	212	1
30	213	1
30	214	1
30	215	1
30	216	1
30	217	1
30	218	1
30	219	1
31	222	1
31	223	1
31	224	1
31	85	1
31	225	1
32	228	1
32	229	1
32	230	1
32	231	1
32	232	1
32	233	1
33	236	1
33	237	1
33	238	1
34	241	1
34	242	1
34	243	1
35	246	1
35	247	1
35	126	1
35	248	1
35	153	1
35	249	1
36	251	1
36	252	1
36	253	1
36	254	1
36	255	1
36	256	1
36	257	1
36	258	1
36	259	1
36	260	1
36	261	1
36	262	1
36	263	1
36	264	1
36	265	1
36	266	1
36	267	1
36	268	1
36	269	1
36	270	1
36	271	1
36	272	1
36	273	1
36	274	1
36	275	1
36	276	1
36	277	1
36	278	1
36	279	1
36	280	1
36	281	1
36	282	1
36	283	1
36	284	1
36	285	1
36	286	1
36	287	1
36	288	1
36	289	1
36	290	1
36	291	1
36	292	1
36	293	1
36	294	1
36	295	1
36	296	1
36	297	1
36	298	1
36	299	1
37	302	1
37	303	1
37	304	1
38	307	1
38	260	1
38	308	1
38	309	1
38	264	1
38	310	1
38	311	1
38	312	1
38	313	1
38	314	1
38	315	1
38	316	1
38	317	1
38	318	1
38	319	1
39	322	1
39	323	1
39	324	1
39	325	1
39	326	1
39	327	1
39	328	1
39	329	1
39	330	1
40	332	1
40	333	1
40	334	1
41	336	1
41	337	1
41	338	1
42	341	1
42	342	1
42	343	1
42	344	1
43	347	1
43	348	1
43	349	1
43	350	1
43	351	1
43	352	1
44	354	1
44	355	1
44	356	1
44	357	1
44	358	1
44	359	1
44	360	1
44	361	1
44	362	1
44	363	1
44	364	1
45	367	1
45	368	1
45	369	1
45	370	1
45	371	1
45	372	1
46	375	1
