uid	iid	label
1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
2	8	1
2	9	1
2	10	1
2	11	1
2	12	1
2	13	1
2	14	1
2	15	1
3	18	1
3	19	1
3	20	1
4	23	1
4	24	1
4	25	1
5	28	1
5	29	1
5	30	1
6	33	1
6	34	1
6	35	1
7	38	1
7	39	1
7	40	1
7	41	1
7	42	1
7	43	1
7	44	1
7	45	1
8	48	1
8	49	1
8	50	1
9	53	1
9	54	1
9	55	1
10	58	1
10	59	1
10	60	1
10	61	1
10	62	1
10	63	1
10	64	1
10	65	1
10	66	1
10	67	1
10	68	1
10	69	1
11	72	1
11	73	1
11	74	1
11	75	1
11	76	1
11	77	1
11	78	1
11	79	1
11	80	1
11	81	1
11	82	1
11	83	1
11	84	1
11	85	1
11	86	1
11	87	1
11	88	1
11	89	1
11	90	1
11	91	1
11	92	1
11	93	1
11	94	1
11	95	1
11	96	1
11	97	1
11	98	1
11	99	1
11	100	1
11	101	1
11	102	1
11	103	1
11	104	1
11	105	1
11	106	1
11	107	1
11	108	1
11	109	1
11	110	1
11	111	1
11	112	1
11	113	1
11	114	1
11	115	1
11	116	1
11	117	1
11	118	1
11	119	1
11	120	1
11	121	1
11	122	1
11	55	1
11	123	1
11	124	1
11	125	1
11	126	1
11	127	1
11	128	1
11	129	1
11	130	1
11	131	1
11	132	1
11	133	1
11	134	1
11	135	1
11	136	1
11	137	1
11	138	1
11	139	1
11	140	1
11	141	1
11	142	1
11	143	1
11	144	1
11	145	1
11	146	1
11	147	1
11	57	1
11	148	1
11	149	1
11	150	1
11	151	1
11	152	1
11	153	1
11	154	1
11	155	1
11	156	1
11	157	1
11	158	1
11	159	1
11	160	1
11	161	1
11	162	1
11	163	1
12	166	1
12	167	1
12	168	1
12	169	1
12	170	1
12	171	1
12	172	1
13	175	1
13	176	1
13	177	1
14	180	1
14	181	1
14	182	1
14	183	1
15	186	1
15	187	1
15	188	1
15	189	1
16	192	1
16	18	1
16	193	1
16	194	1
17	197	1
17	198	1
17	199	1
17	200	1
17	201	1
17	202	1
17	203	1
17	204	1
17	205	1
17	206	1
17	207	1
17	208	1
17	209	1
18	212	1
18	213	1
18	214	1
19	217	1
19	218	1
19	219	1
19	220	1
19	135	1
20	222	1
20	223	1
20	224	1
20	225	1
20	226	1
20	227	1
20	228	1
20	229	1
20	230	1
21	233	1
21	234	1
21	110	1
21	235	1
21	236	1
22	239	1
22	130	1
22	240	1
23	243	1
23	244	1
23	245	1
24	248	1
24	249	1
24	250	1
25	253	1
25	254	1
25	255	1
25	170	1
26	258	1
26	259	1
26	260	1
27	262	1
27	263	1
27	264	1
27	265	1
27	266	1
28	269	1
28	270	1
28	254	1
29	98	1
29	273	1
29	274	1
29	102	1
29	275	1
29	276	1
30	279	1
30	280	1
30	281	1
30	282	1
31	285	1
31	286	1
31	287	1
31	288	1
31	289	1
31	290	1
31	291	1
31	292	1
31	293	1
31	294	1
31	295	1
31	296	1
32	299	1
32	300	1
32	301	1
32	302	1
32	303	1
32	193	1
32	304	1
33	307	1
33	308	1
33	309	1
33	310	1
34	263	1
34	313	1
34	265	1
35	315	1
35	316	1
35	317	1
35	318	1
36	321	1
36	322	1
36	310	1
37	325	1
37	326	1
37	327	1
37	328	1
38	331	1
38	332	1
38	333	1
38	21	1
38	334	1
38	335	1
38	336	1
38	337	1
38	338	1
38	339	1
38	340	1
38	341	1
39	344	1
39	345	1
39	346	1
40	349	1
40	350	1
40	351	1
40	352	1
41	355	1
41	356	1
41	357	1
42	360	1
42	361	1
42	362	1
