uid	iid	time
1	1	1357430400
1	2	1384387200
1	3	1384387200
1	4	1386374400
1	5	1386374400
1	6	1393372800
1	7	1400716800
2	8	1361145600
2	9	1363737600
2	10	1364256000
2	11	1364774400
2	12	1368403200
2	13	1368403200
2	14	1372032000
2	15	1386374400
2	16	1386374400
2	17	1395619200
3	18	1351036800
3	19	1372723200
3	20	1379376000
3	21	1383868800
3	22	1383868800
4	23	1404086400
4	24	1404086400
4	25	1404086400
4	26	1404086400
4	27	1404086400
5	28	1388707200
5	29	1388707200
5	30	1388707200
5	31	1388707200
5	32	1388707200
6	33	1368662400
6	34	1393200000
6	35	1393200000
6	36	1393200000
6	37	1393200000
7	38	1381708800
7	39	1381708800
7	40	1381708800
7	41	1385596800
7	42	1393804800
7	43	1394668800
7	44	1394668800
7	45	1395878400
7	46	1400198400
7	47	1400198400
8	48	1291939200
8	49	1291939200
8	50	1294272000
8	51	1294272000
8	52	1294272000
9	53	1353974400
9	54	1353974400
9	55	1353974400
9	56	1404345600
9	57	1404345600
10	58	1350000000
10	59	1350086400
10	60	1350950400
10	61	1352764800
10	62	1365033600
10	63	1369353600
10	64	1369353600
10	65	1373500800
10	66	1373846400
10	67	1376524800
10	68	1386892800
10	69	1403222400
10	70	1404432000
10	71	1404691200
11	72	1207267200
11	73	1225670400
11	74	1225670400
11	75	1243555200
11	76	1244764800
11	77	1244764800
11	78	1248912000
11	79	1249084800
11	80	1249948800
11	81	1249948800
11	82	1255824000
11	83	1255824000
11	84	1255824000
11	85	1255824000
11	86	1255824000
11	87	1256342400
11	88	1256342400
11	89	1261094400
11	90	1261958400
11	91	1261958400
11	92	1267401600
11	93	1272067200
11	94	1280361600
11	95	1280361600
11	96	1281052800
11	97	1282694400
11	98	1297296000
11	99	1300233600
11	100	1300838400
11	101	1301788800
11	102	1304640000
11	103	1307664000
11	104	1311897600
11	105	1312761600
11	106	1313798400
11	107	1313798400
11	108	1313798400
11	109	1313798400
11	110	1316044800
11	111	1316044800
11	112	1317254400
11	113	1318204800
11	114	1319673600
11	115	1322006400
11	116	1322265600
11	117	1322265600
11	118	1325203200
11	119	1329264000
11	120	1330300800
11	121	1340409600
11	122	1341878400
11	55	1345075200
11	123	1345507200
11	124	1348185600
11	125	1349654400
11	126	1353196800
11	127	1356652800
11	128	1361491200
11	129	1361750400
11	130	1361750400
11	131	1363651200
11	132	1363910400
11	133	1365811200
11	134	1367193600
11	135	1369267200
11	136	1369958400
11	137	1370390400
11	138	1375142400
11	139	1375488000
11	140	1377216000
11	141	1377475200
11	142	1380758400
11	143	1381104000
11	144	1381104000
11	145	1382918400
11	146	1384041600
11	147	1384646400
11	57	1385424000
11	148	1385510400
11	149	1385596800
11	150	1385856000
11	151	1387497600
11	152	1387497600
11	153	1388793600
11	154	1389139200
11	155	1390694400
11	156	1390694400
11	157	1390780800
11	158	1391126400
11	159	1391212800
11	160	1398038400
11	161	1399420800
11	162	1400716800
11	163	1403740800
11	164	1403740800
11	165	1403827200
12	166	1350604800
12	167	1352073600
12	168	1372723200
12	169	1378252800
12	170	1387843200
12	171	1389312000
12	172	1400630400
12	173	1401408000
12	174	1403568000
13	175	1340409600
13	176	1357948800
13	177	1373500800
13	178	1375660800
13	179	1388707200
14	180	1242950400
14	181	1242950400
14	182	1257120000
14	183	1266278400
14	184	1278028800
14	185	1278028800
15	186	1284076800
15	187	1297900800
15	188	1298678400
15	189	1299974400
15	190	1327622400
15	191	1330560000
16	192	1330041600
16	18	1336089600
16	193	1354838400
16	194	1357862400
16	195	1396915200
16	196	1396915200
17	197	1277769600
17	198	1315440000
17	199	1325030400
17	200	1346112000
17	201	1350604800
17	202	1350604800
17	203	1357344000
17	204	1369958400
17	205	1369958400
17	206	1374883200
17	207	1377820800
17	208	1377907200
17	209	1377907200
17	210	1378252800
17	211	1384646400
18	212	1258761600
18	213	1267488000
18	214	1325462400
18	215	1325462400
18	216	1330646400
19	217	1320278400
19	218	1357776000
19	219	1363392000
19	220	1366588800
19	135	1368489600
19	221	1403308800
19	57	1403308800
20	222	1322956800
20	223	1334448000
20	224	1337472000
20	225	1344038400
20	226	1344124800
20	227	1345593600
20	228	1346025600
20	229	1352505600
20	230	1353110400
20	231	1356998400
20	232	1395532800
21	233	1356912000
21	234	1356912000
21	110	1367625600
21	235	1367625600
21	236	1367625600
21	237	1367625600
21	238	1367625600
22	239	1389312000
22	130	1389312000
22	240	1392076800
22	241	1392163200
22	242	1393372800
23	243	1288310400
23	244	1289174400
23	245	1293667200
23	246	1404950400
23	247	1404950400
24	248	1359158400
24	249	1382832000
24	250	1382832000
24	251	1382832000
24	252	1382832000
25	253	1346025600
25	254	1373673600
25	255	1377388800
25	170	1385251200
25	256	1387152000
25	257	1397606400
26	258	1356652800
26	259	1364169600
26	260	1389916800
26	261	1389916800
26	71	1391817600
27	262	1367020800
27	263	1367193600
27	264	1367193600
27	265	1368489600
27	266	1368489600
27	267	1384819200
27	268	1384819200
28	269	1178928000
28	270	1259020800
28	254	1363910400
28	271	1365465600
28	272	1365465600
29	98	1197763200
29	273	1252627200
29	274	1352592000
29	102	1352592000
29	275	1384646400
29	276	1384646400
29	277	1384646400
29	278	1388620800
30	279	1370131200
30	280	1373500800
30	281	1373846400
30	282	1388102400
30	283	1389139200
30	284	1395878400
31	285	1221609600
31	286	1260662400
31	287	1274832000
31	288	1339804800
31	289	1342656000
31	290	1348012800
31	291	1358812800
31	292	1363824000
31	293	1388448000
31	294	1392768000
31	295	1397692800
31	296	1400025600
31	297	1402704000
31	298	1402704000
32	299	1225756800
32	300	1246492800
32	301	1338940800
32	302	1356480000
32	303	1360627200
32	193	1360800000
32	304	1367020800
32	305	1384992000
32	306	1384992000
33	307	1357689600
33	308	1385510400
33	309	1385510400
33	310	1385510400
33	311	1388707200
33	312	1400284800
34	263	1322697600
34	313	1322697600
34	265	1401148800
34	314	1401148800
34	254	1401840000
35	315	1350950400
35	316	1350950400
35	317	1377993600
35	318	1397606400
35	319	1402272000
35	320	1402272000
36	321	1327276800
36	322	1327276800
36	310	1340409600
36	323	1340668800
36	324	1359936000
37	325	1281312000
37	326	1377907200
37	327	1383523200
37	328	1389139200
37	329	1392854400
37	330	1398816000
38	331	1354492800
38	332	1354492800
38	333	1360195200
38	21	1360195200
38	334	1360627200
38	335	1364601600
38	336	1367020800
38	337	1367452800
38	338	1367539200
38	339	1367539200
38	340	1367539200
38	341	1369008000
38	342	1384300800
38	343	1384300800
39	344	1291248000
39	345	1295913600
39	346	1298505600
39	347	1306886400
39	348	1323302400
40	349	1365206400
40	350	1367366400
40	351	1384041600
40	352	1384041600
40	353	1388620800
40	354	1388620800
41	355	1269216000
41	356	1277942400
41	357	1344384000
41	358	1376438400
41	359	1394409600
42	360	1317340800
42	361	1350691200
42	362	1354320000
42	363	1354320000
42	364	1365897600
42	365	1382227200
42	49	1382227200
42	15	1382227200
43	366	1327795200
43	367	1327795200
43	368	1337990400
43	369	1337990400
43	370	1370131200
44	371	1379030400
44	372	1379116800
44	373	1379289600
44	374	1379289600
44	375	1379289600
45	376	1358208000
45	56	1371686400
45	377	1372636800
45	22	1375401600
45	378	1379116800
46	379	1305763200
46	380	1305849600
46	381	1305849600
46	382	1322006400
46	383	1326067200
46	384	1326153600
46	385	1360886400
46	386	1360886400
46	387	1368662400
46	388	1368748800
47	389	1390608000
47	57	1390608000
47	40	1390608000
47	390	1390694400
47	391	1390694400
47	392	1390694400
47	393	1390694400
47	394	1390694400
47	395	1390694400
47	396	1390694400
47	397	1390694400
47	398	1401321600
47	38	1401926400
47	399	1401926400
48	400	1011657600
48	401	1012348800
48	402	1012435200
48	403	1130198400
48	404	1185235200
48	405	1250553600
48	263	1305158400
48	406	1320624000
49	407	1384560000
49	408	1384560000
49	409	1388188800
49	109	1388188800
49	410	1388188800
49	135	1388188800
49	411	1390176000
49	412	1390176000
49	413	1390176000
49	414	1393718400
49	415	1393718400
49	416	1393718400
49	417	1394928000
49	418	1404086400
50	419	1274227200
50	420	1317340800
50	421	1319068800
50	422	1320451200
50	423	1320451200
50	424	1323820800
51	425	1155081600
51	6	1299628800
51	426	1319068800
51	427	1335052800
51	428	1393632000
51	429	1393632000
51	430	1393632000
51	431	1395014400
51	432	1395014400
51	206	1395100800
51	433	1402704000
52	434	1350864000
52	435	1355356800
52	436	1355443200
52	437	1356566400
52	438	1356998400
52	439	1356998400
52	440	1356998400
52	441	1369008000
52	442	1387324800
52	443	1397088000
52	444	1398988800
52	408	1404691200
53	445	1307232000
53	446	1370476800
53	447	1388188800
53	448	1395273600
53	449	1395446400
53	450	1405209600
54	451	1369785600
54	452	1374364800
54	453	1374364800
54	454	1374364800
54	455	1374364800
55	456	1230422400
55	457	1264636800
55	458	1299283200
55	459	1340928000
55	460	1340928000
55	461	1351641600
56	462	1332979200
56	463	1345852800
56	464	1355270400
56	440	1370217600
56	465	1404777600
57	466	1390089600
57	467	1390089600
57	468	1390089600
57	457	1402099200
57	469	1402099200
57	470	1402099200
57	471	1404518400
57	472	1404518400
57	473	1404518400
58	474	1303776000
58	475	1306108800
58	476	1312675200
58	477	1338249600
58	456	1368144000
58	478	1368144000
59	479	1377043200
59	480	1382227200
59	481	1382227200
59	482	1382227200
59	483	1398643200
60	484	1369872000
60	485	1375228800
60	486	1376438400
60	487	1379116800
60	488	1390348800
61	489	1337731200
61	490	1341792000
61	491	1354060800
61	492	1358553600
61	493	1371254400
61	98	1389657600
61	494	1389657600
61	495	1389657600
62	496	1342656000
62	497	1342656000
62	498	1343174400
62	499	1348531200
62	500	1378857600
62	501	1385337600
62	502	1397001600
63	503	1307577600
63	504	1347926400
63	505	1366156800
63	506	1368230400
63	440	1368230400
63	507	1368230400
64	508	1300752000
64	509	1300838400
64	510	1301529600
64	511	1302220800
64	512	1303171200
64	513	1303689600
64	514	1304035200
64	515	1304985600
64	516	1306195200
64	517	1308182400
64	518	1314144000
64	519	1315353600
64	440	1318464000
64	520	1329955200
64	521	1330387200
64	522	1352592000
64	523	1381708800
65	524	1264032000
65	525	1266451200
65	526	1334707200
65	527	1388361600
65	298	1403136000
66	528	1349136000
66	529	1362009600
66	530	1366243200
66	531	1371254400
66	532	1402617600
66	533	1402704000
67	534	1269993600
67	535	1295654400
67	536	1295654400
