uid	iid	label
1	1	1
1	2	1
1	3	1
1	4	1
2	7	1
2	8	1
2	9	1
2	10	1
2	11	1
2	12	1
3	15	1
3	16	1
3	17	1
3	18	1
4	21	1
4	22	1
4	23	1
4	24	1
4	25	1
5	28	1
5	29	1
5	30	1
6	33	1
6	34	1
6	35	1
6	36	1
6	37	1
6	38	1
6	39	1
6	40	1
6	41	1
6	42	1
6	43	1
6	44	1
6	45	1
7	48	1
7	49	1
7	50	1
7	51	1
8	54	1
8	55	1
8	56	1
9	58	1
9	59	1
9	60	1
9	61	1
10	64	1
10	65	1
10	66	1
10	67	1
10	68	1
10	69	1
10	70	1
10	71	1
10	72	1
10	73	1
10	74	1
10	75	1
11	78	1
11	79	1
11	80	1
11	81	1
11	82	1
12	85	1
12	86	1
12	87	1
13	90	1
13	91	1
13	92	1
13	93	1
14	96	1
14	97	1
14	98	1
14	99	1
15	102	1
15	103	1
15	104	1
15	105	1
16	108	1
16	109	1
16	110	1
16	111	1
17	114	1
17	115	1
17	116	1
18	119	1
18	120	1
18	121	1
18	122	1
19	125	1
19	126	1
19	127	1
19	128	1
19	129	1
20	132	1
20	133	1
20	134	1
21	137	1
21	138	1
21	139	1
22	142	1
22	143	1
22	144	1
22	145	1
22	146	1
22	147	1
22	148	1
22	149	1
22	150	1
22	151	1
22	152	1
22	153	1
22	154	1
22	155	1
22	156	1
23	159	1
23	160	1
23	161	1
24	164	1
24	165	1
24	166	1
24	167	1
24	168	1
24	169	1
24	170	1
24	171	1
24	172	1
25	175	1
25	176	1
25	177	1
25	178	1
25	33	1
25	82	1
26	181	1
26	182	1
26	183	1
26	184	1
26	185	1
26	186	1
27	189	1
27	190	1
27	191	1
28	194	1
28	195	1
28	196	1
28	197	1
28	198	1
28	199	1
28	200	1
28	201	1
28	202	1
28	203	1
28	204	1
28	205	1
29	208	1
29	209	1
29	210	1
29	211	1
29	212	1
29	213	1
29	214	1
29	215	1
29	166	1
29	216	1
30	219	1
30	220	1
30	221	1
30	222	1
30	223	1
30	224	1
30	225	1
30	226	1
30	227	1
30	228	1
30	229	1
30	230	1
30	231	1
30	232	1
30	233	1
30	234	1
30	235	1
30	236	1
31	239	1
31	100	1
31	1	1
31	240	1
31	241	1
31	242	1
32	245	1
32	246	1
32	247	1
33	250	1
33	251	1
33	252	1
33	253	1
34	256	1
34	257	1
34	258	1
34	259	1
34	260	1
34	261	1
34	262	1
34	263	1
34	264	1
34	265	1
34	266	1
34	267	1
34	268	1
34	269	1
34	270	1
35	273	1
35	274	1
35	275	1
35	163	1
36	278	1
36	279	1
36	280	1
36	281	1
36	282	1
36	283	1
36	284	1
36	285	1
37	288	1
37	289	1
37	290	1
37	291	1
37	292	1
37	293	1
37	294	1
37	295	1
38	298	1
38	299	1
38	300	1
38	301	1
38	302	1
38	303	1
39	306	1
39	307	1
39	308	1
40	311	1
40	312	1
40	313	1
40	314	1
40	315	1
40	316	1
41	319	1
41	320	1
41	321	1
41	322	1
41	323	1
41	324	1
41	325	1
41	326	1
41	327	1
41	328	1
42	330	1
42	331	1
42	332	1
43	335	1
43	336	1
43	337	1
43	294	1
44	340	1
44	341	1
44	342	1
45	344	1
45	62	1
45	345	1
45	346	1
45	347	1
46	350	1
46	351	1
46	167	1
46	352	1
46	353	1
47	356	1
47	258	1
47	357	1
47	358	1
47	359	1
47	360	1
47	361	1
47	362	1
47	363	1
47	364	1
47	365	1
48	368	1
48	369	1
48	370	1
48	371	1
48	372	1
48	373	1
48	374	1
48	375	1
48	376	1
48	377	1
48	378	1
48	379	1
